# df_oferta
nombre_J	ubicacionesJ_x	ubicacionesJ_y	Ciudad
j01	7.127802	-73.113901	68001 - Bucaramanga
j09	k06	50	1	5	50	10	500	j09k06	Quimioterapia	68307 - Girón
j09	k07	50	1	5	50	10	500	j09k07	Radioterapia	68307 - Girón
j09	k08	50	1	5	50	10	500	j09k08	Hormonal	68307 - Girón
j09	k09	0	0	0	0	0	0	j09k09	Cirugía	68307 - Girón
j09	k10	50	1	5	50	10	500	j09k10	Cuidados paliativos	68307 - Girón
j10	k01	20	1	2	20	5	100	j10k01	Consulta general diagnóstico	68397 - La Paz
j10	k02	0	0	0	0	10	0	j10k02	Mamografía y ecografía	68397 - La Paz
j10	k03	0	0	0	0	4	0	j10k03	Consulta especializada	68397 - La Paz
j10	k04	0	0	0	0	4	0	j10k04	Biopsia diagnóstico	68397 - La Paz
j10	k05	0	0	0	0	4	0	j10k05	Patología diagnóstico	68397 - La Paz
j10	k06	0	0	0	0	10	0	j10k06	Quimioterapia	68397 - La Paz
j10	k07	0	0	0	0	10	0	j10k07	Radioterapia	68397 - La Paz
j10	k08	0	0	0	0	10	0	j10k08	Hormonal	68397 - La Paz
j10	k09	0	0	0	0	0	0	j10k09	Cirugía	68397 - La Paz
j10	k10	0	0	0	0	10	0	j10k10	Cuidados paliativos	68397 - La Paz
j11	k01	20	1	2	20	5	100	j11k01	Consulta general diagnóstico	68406 - Lebríja
j11	k02	20	1	2	20	10	200	j11k02	Mamografía y ecografía	68406 - Lebríja
j11	k03	0	0	0	0	4	0	j11k03	Consulta especializada	68406 - Lebríja
j11	k04	0	0	0	0	4	0	j11k04	Biopsia diagnóstico	68406 - Lebríja
j11	k05	0	0	0	0	4	0	j11k05	Patología diagnóstico	68406 - Lebríja
j11	k06	0	0	0	0	10	0	j11k06	Quimioterapia	68406 - Lebríja
j11	k07	0	0	0	0	10	0	j11k07	Radioterapia	68406 - Lebríja
j11	k08	0	0	0	0	10	0	j11k08	Hormonal	68406 - Lebríja
j11	k09	0	0	0	0	0	0	j11k09	Cirugía	68406 - Lebríja
j11	k10	0	0	0	0	10	0	j11k10	Cuidados paliativos	68406 - Lebríja
j12	k01	60	1	6	60	5	300	j12k01	Consulta general diagnóstico	68432 - Málaga
j12	k02	0	0	0	0	10	0	j12k02	Mamografía y ecografía	68432 - Málaga
j12	k03	0	0	0	0	4	0	j12k03	Consulta especializada	68432 - Málaga
j12	k04	0	0	0	0	4	0	j12k04	Biopsia diagnóstico	68432 - Málaga
j12	k05	0	0	0	0	4	0	j12k05	Patología diagnóstico	68432 - Málaga
j12	k06	0	0	0	0	10	0	j12k06	Quimioterapia	68432 - Málaga
j12	k07	0	0	0	0	10	0	j12k07	Radioterapia	68432 - Málaga
j12	k08	0	0	0	0	10	0	j12k08	Hormonal	68432 - Málaga
j12	k09	0	0	0	0	0	0	j12k09	Cirugía	68432 - Málaga
j12	k10	0	0	0	0	10	0	j12k10	Cuidados paliativos	68432 - Málaga
j13	k01	20	1	2	20	5	100	j13k01	Consulta general diagnóstico	68464 - Mogotes
j13	k02	0	0	0	0	10	0	j13k02	Mamografía y ecografía	68464 - Mogotes
j13	k03	0	0	0	0	4	0	j13k03	Consulta especializada	68464 - Mogotes
j13	k04	0	0	0	0	4	0	j13k04	Biopsia diagnóstico	68464 - Mogotes
j13	k05	0	0	0	0	4	0	j13k05	Patología diagnóstico	68464 - Mogotes
j13	k06	0	0	0	0	10	0	j13k06	Quimioterapia	68464 - Mogotes
j13	k07	0	0	0	0	10	0	j13k07	Radioterapia	68464 - Mogotes
j13	k08	0	0	0	0	10	0	j13k08	Hormonal	68464 - Mogotes
j13	k09	0	0	0	0	10	0	j13k09	Cirugía	68464 - Mogotes
j13	k10	0	0	0	0	10	0	j13k10	Cuidados paliativos	68464 - Mogotes
j14	k01	20	1	2	20	5	100	j14k01	Consulta general diagnóstico	68498 - Ocamonte
j14	k02	0	0	0	0	10	0	j14k02	Mamografía y ecografía	68498 - Ocamonte
j14	k03	0	0	0	0	4	0	j14k03	Consulta especializada	68498 - Ocamonte
j14	k04	0	0	0	0	4	0	j14k04	Biopsia diagnóstico	68498 - Ocamonte
j14	k05	0	0	0	0	4	0	j14k05	Patología diagnóstico	68498 - Ocamonte
j14	k06	0	0	0	0	10	0	j14k06	Quimioterapia	68498 - Ocamonte
j14	k07	0	0	0	0	10	0	j14k07	Radioterapia	68498 - Ocamonte
j14	k08	0	0	0	0	10	0	j14k08	Hormonal	68498 - Ocamonte
j14	k09	0	0	0	0	0	0	j14k09	Cirugía	68498 - Ocamonte
j14	k10	0	0	0	0	10	0	j14k10	Cuidados paliativos	68498 - Ocamonte
j15	k01	20	1	2	20	5	100	j15k01	Consulta general diagnóstico	68500 - Oiba
j15	k02	0	0	0	0	10	0	j15k02	Mamografía y ecografía	68500 - Oiba
j15	k03	0	0	0	0	4	0	j15k03	Consulta especializada	68500 - Oiba
j15	k04	0	0	0	0	4	0	j15k04	Biopsia diagnóstico	68500 - Oiba
j15	k05	0	0	0	0	4	0	j15k05	Patología diagnóstico	68500 - Oiba
j15	k06	0	0	0	0	10	0	j15k06	Quimioterapia	68500 - Oiba
j15	k07	0	0	0	0	10	0	j15k07	Radioterapia	68500 - Oiba
j15	k08	0	0	0	0	10	0	j15k08	Hormonal	68500 - Oiba
j15	k09	0	0	0	0	0	0	j15k09	Cirugía	68500 - Oiba
